2016-09-01 00:34:48,249 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-04 20:14:36,075 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-09-10 12:41:08,973 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-09-10 23:01:16,992 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-11 09:56:57,282 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-18 10:24:19,983 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-09-25 01:14:06,568 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-09-25 01:51:24,944 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @2274516ms
2016-09-25 01:51:25,207 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-09-25 01:51:25,272 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@4eab1556{/help,null,AVAILABLE}
2016-09-25 01:51:25,294 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@4d614d85{HTTP/1.1,[http/1.1]}{127.0.0.1:32927}
2016-09-25 01:51:25,294 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @2274867ms
2016-09-27 00:57:39,850 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@4d614d85{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-09-27 00:57:39,983 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@4eab1556{/help,null,UNAVAILABLE}
2016-09-27 21:55:32,766 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-09-29 20:26:42,722 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-10-08 17:49:50,682 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-10-17 16:07:00,652 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-10-17 16:07:11,501 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Updating Gradle version information cache failed. Using outdated cache.
2016-10-22 18:16:04,705 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-11-22 18:40:46,890 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-11-22 18:40:57,901 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Updating Gradle version information cache failed. Using outdated cache.
2016-11-24 23:10:43,659 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-11-24 23:14:37,699 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-11-24 23:37:30,097 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
